index,url,Business_Name,Address,City,match,redirected_url
182001,https://state.nj.us,Dr Maria Campoalegre Md Pa,407 39Th St,Union City,No,https://www.nj.gov/
182002,https://century21gas.com,Nyce Shirt,310 Broad St Ste D,Harleysville,No,
182003,https://hpcblawnox.org,Hoboken Presbyterian Church,921 North Ave,Pittsburgh,No,
182004,https://carquest.com,A M. Auto Parts Ltd.,44 Main St,Souris,No,
182005,https://laharborsportfishing.com,La Waterfront Cruises,400 Oceangate Ste 1110,Long Beach,No,https://www.laharborsportfishing.com/
182006,https://aubergelafascine.com,Sincere Home Care,5911 Holmes Ct,Jackson,No,https://www.aubergelafascine.com/
182007,https://kemperhsc.com,Reliable Life Insurance,4200 South Fwy Ste 722,Fort Worth,No,
182008,https://ezecleanservices.ca,Sales Analytics Inc,2009 Ashburton Way,Mount Pleasant,No,
182009,https://alphaoneimaging.com,Subway,174 Township Blvd,Camillus,No,https://www.alphaoneimaging.com/
182010,https://bikramarlington.com,Supernova Yoga Inc,4019 5Th Rd N,Arlington,No,http://www.serious.yoga
182011,https://gilmarautogroup.com,Scotian Pens,37 Lancaster Dr,Halifax,No,
182012,https://hackensackumc.org,Alan M Tell Md,140 Prospect Ave,Hackensack,No,https://www.hackensackmeridianhealth.org/en/locations/hackensack-university-medical-center
182013,https://quickref.com,Referential System,503 Kingsley Rd Sw,Vienna,No,
182014,https://leblancwelding.ca,Pelo By Edgardo,16 Bailey Ave,Ridgefield,No,
182015,https://selectautopartsmilwaukee.com,Face Food,8 Market Sq,Newburyport,No,
182016,https://saintkatearts.com,South Florida Small Engine Mower Repair Inc,918 Ne 7Th Ter,Cape Coral,No,https://www.saintkatearts.com:443/
182017,https://thepointedancecentre.com,Spp Property Management Llc,6501 Peake Rd,Macon,No,https://www.thepointedancecentre.com/
182018,https://ccuen-rccue.ca,Canadian College And University Environmental Network,Suite 2 555 Hall Ave E,Renfrew,No,
182019,https://fdnyshop.com,Suicide Prevention Resource Centre,10014 99 St Suite 200,Grande Prairie,No,https://www.fdnyshop.com/
182020,https://knis.ca,Klondike Nugget & Ivory Shop Ltd,90090 Front St,Dawson,Yes,
182021,https://beautifullyorganized.ca,Sudha Chinta Dds Inc,4466 Black Ave Ste K,Pleasanton,No,https://themovinggenie.com/
182022,https://canvasback.org,Fireroad Holdings Inc,40437 Tantalus Rd Unit 9,Garibaldi Highlands,No,
182023,https://fambrorealtyservices.com,Aaa Property Management Group,15001 Kercheval Ave,Grosse Pointe,No,
182024,https://decaturcountybank.com,Beating Brain Cancer A Nj Nonprofit Corporation,111A Melrich Rd,Cranbury,No,https://www.decaturcountybank.com/
182025,https://cascadeanimalclinic.com,Shawn Leslie Buchholz Dvm,121 S Ferry Ave,Monroe,No,https://www.cascadeanimalclinic.com/
182026,https://thepipeplug.com,Taylor Made Plastic,1561 Global Ct Ste A,Sarasota,No,
182027,https://maint.com,Pelletier Marc (Singer) Enr,502B 4E Av,La Pocatiere,No,
182028,https://cckcorp.com,Cameron Coffey And Kaye Pc,1013 2Nd St,Novato,No,
182029,https://99only.com,The Skin Lab By Jessi Llc,8800 Harvest Oaks Dr Ste 100,Raleigh,No,
182030,https://dunnselectric.com,Everett Realty,2109 Dillingham Ave,Lansing,No,
182031,https://acooperlogistics.com,Hol Greenfield Ltd Co,10142 Antelope Way,Forney,No,
182032,https://jwright.com,9357-1370 Quebec Inc,4690 Boul Des Sources,Dollard-Des-Ormeaux,No,
182033,https://selectexp.com,Meras Water Solutions,4213 Technology Dr Ste A,Modesto,No,https://www.aitworldwide.com/services/ground-distribution/final-mile-delivery/?utm_source=redirect&utm_medium=website&utm_campaign=selectexpress
182034,https://montgomeryprint.com,Langevin Larsen Hamm & Cohen,5530 Wisconsin Ave Ste 1150,Chevy Chase,No,
182035,https://glasasoccer.org,Mark Ease Products Inc,132 S Aurora St,Stockton,No,
182036,https://orilliasoccer.com,Northwestern Mutual,102 E Green Bay St # 100,Shawano,No,
182037,https://villiardserresetjardins.com,2Am World Ltd.,5377 Huron Street,Niagara Falls,No,
182038,https://echelonpaysdenhaut.com,World Fresh Exports Inc,9459 Ledgestone Rd,Lake Country,No,
182039,https://hhipc.org,Hilton Head International Piano Competition,2 Park Ln,Hilton Head Island,No,
182040,https://edmtaxi.com,Chesterfield Trading Company,9521 Route 1,Richmond,No,
182041,https://anyoccasionbr.com,Ferme Pial Inc,163 4E Rang E,Saint-Joseph-De-Kamouraska,No,
182042,https://catiminiusa.com,Kidz Global Apparel Ltd,2263 41St Ave W,Vancouver,No,
182043,https://cimtech.ca,Dan River Insurance Services Inc,110 N 2Nd Ave,Mayodan,No,
182044,https://texasjustice.com,Dc Law Pllc,13180 N Cleveland Ave,North Fort Myers,No,https://teamjustice.com/
182045,https://brentoncommunities.com,Boone Estates,1901 1St St Trlr 14,Boone,No,https://www.brentoncommunities.com/
182046,https://mfproperty.com,Wcc 12,49 Rhonda Rd,Guelph,No,https://www.mfproperty.com/
182047,https://soulquestchurch.com,Wetzel And Washburn,17835 Forest Rd,Forest,No,https://www.soulquestchurch.com/
182048,https://coldstreamgolfcourse.com,500779 Bc Ltd,15 Dure Meadow Rd,Lumby,No,
182049,https://starimportsauto.com,Tri-Community Baptist Church,239 9 St,Beiseker,No,https://www.starimportsauto.com/
182050,https://cortrol.com,Frontier Plastic Fabricators,4518 W 56Th St,Tulsa,Yes,
182051,https://labcorp.com,Frederick W Silverman Md,7301 W Palmetto Park Rd Ste 101B,Boca Raton,No,https://www.labcorp.com/
182052,https://northernlifestyleforsale.com,Sunnydale Cottages,700 Dawson Point Rd,New Liskeard,No,https://www.northernlifestyleforsale.com
